Discipline,HPSAID,HPSAName,DesignationType,PrimaryStateName,CountyName,HPSAFTEShort,HPSAScore,PCMCTAScore,Status,RuralStatus,DesignationDate,UpdateDate
Mental Health,7353769312,Sandoval County,Geographic HPSA,New Mexico,"Sandoval County, NM",5.85,18,NA,Withdrawn,Partially Rural,08/12/2019,01/02/2024
Mental Health,7359993501,Southwest Valley,Geographic HPSA,New Mexico,"Bernalillo County, NM",,0,NA,Withdrawn,Non-Rural,05/20/1983,03/21/2003
Mental Health,7359993517,North Valley,Geographic HPSA,New Mexico,"Bernalillo County, NM",,0,NA,Withdrawn,Non-Rural,06/08/1994,08/31/2005
Primary Care,1359993568,"Pecos Valley Medical Center, Inc.",Federally Qualified Health Center,New Mexico,"San Miguel County, NM",,22,NA,Withdrawn,Rural,10/26/2002,09/18/2020
Mental Health,7359993532,"Pecos Valley Medical Center, Inc.",Federally Qualified Health Center,New Mexico,"San Miguel County, NM",,21,NA,Withdrawn,Rural,10/26/2002,09/18/2020
Dental Health,6359993539,"Pecos Valley Medical Center, Inc.",Federally Qualified Health Center,New Mexico,"San Miguel County, NM",,25,NA,Withdrawn,Rural,10/26/2002,09/18/2020
Primary Care,1359993574,CARRIZOZO HEALTH CENTER,Rural Health Clinic,New Mexico,"Lincoln County, NM",,18,NA,Withdrawn,Rural,10/31/2003,02/06/2020
Dental Health,6359993546,CARRIZOZO HEALTH CENTER,Rural Health Clinic,New Mexico,"Lincoln County, NM",,17,NA,Withdrawn,Rural,10/31/2003,02/06/2020
Mental Health,7359993539,CARRIZOZO HEALTH CENTER,Rural Health Clinic,New Mexico,"Lincoln County, NM",,19,NA,Withdrawn,Rural,10/31/2003,02/06/2020
Primary Care,1355975852,New Sunrise Regional Treatment Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,20,NA,Withdrawn,Rural,07/21/2011,09/18/2020
Mental Health,7352030907,New Sunrise Regional Treatment Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,21,NA,Withdrawn,Rural,07/21/2011,09/18/2020
Dental Health,6352686453,New Sunrise Regional Treatment Center,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,22,NA,Withdrawn,Rural,07/21/2011,09/18/2020
Primary Care,1358347079,LAGUNA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,20,NA,Withdrawn,Rural,08/18/2019,04/23/2021
Mental Health,7358125730,LAGUNA HEALTH CENTER,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",New Mexico,"Cibola County, NM",,21,NA,Withdrawn,Rural,08/18/2019,04/23/2021
